X,Y,Z,S,I_Raw,I_Pro,I_DoG,N,Gain,X_in_px,Y_in_px,Z_in_px,X_um,Y_um,Z_um,X_abs_out_px,Y_abs_out_px,Z_abs_out_px,X_abs_in_px,Y_abs_in_px,Z_abs_in_px,X_abs_um,Y_abs_um,Z_abs_um,S_um,X_ref_in_px,Y_ref_in_px,Z_ref_in_px,X_ref_out_px,Y_ref_out_px,Z_ref_out_px,ID
34.0,52.0,32.0,4.0,1519.0,443.02497541294224,333.5513884536229,3.0,-0.1409695067388499,151.0,231.0,32.0,68.0,104.0,64.0,34.0,52.0,32.0,151.0,231.0,32.0,68.0,104.0,64.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,29
20.0,30.0,37.0,4.0,1715.0,639.0249754129422,459.504789857243,5.0,-0.1634185902204898,89.0,133.0,37.0,40.0,60.0,74.0,20.0,30.0,37.0,89.0,133.0,37.0,40.0,60.0,74.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,30
41.0,23.0,18.0,4.0,1730.0,654.0249754129422,437.852787026266,5.0,-0.19798204141804,182.0,102.0,18.0,82.0,46.0,36.0,41.0,23.0,18.0,182.0,102.0,18.0,82.0,46.0,36.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,31
42.0,18.0,53.0,4.0,1470.0,394.02497541294224,377.0659720190111,8.0,-0.0219935189881446,187.0,80.0,53.0,84.0,36.0,106.0,42.0,18.0,53.0,187.0,80.0,53.0,84.0,36.0,106.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,32
20.0,17.0,46.0,4.0,1724.0,648.0249754129422,541.1658474835039,4.0,-0.0898586886746801,89.0,76.0,46.0,40.0,34.0,92.0,20.0,17.0,46.0,89.0,76.0,46.0,40.0,34.0,92.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,33
16.0,41.0,23.0,5.0,1735.0,659.0249754129422,551.8053332129726,7.0,-0.0885505107000877,71.0,182.0,23.0,32.0,82.0,46.0,16.0,41.0,23.0,71.0,182.0,23.0,32.0,82.0,46.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,34
45.0,33.0,23.0,5.0,1663.0,587.0249754129422,510.3889676493013,6.0,-0.0698332732585795,200.0,147.0,23.0,90.0,66.0,46.0,45.0,33.0,23.0,200.0,147.0,23.0,90.0,66.0,46.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,35
26.0,33.0,29.0,5.0,2086.0,1010.0249754129422,1005.3850420790436,11.0,-0.0023022279802263,116.0,147.0,29.0,52.0,66.0,58.0,26.0,33.0,29.0,116.0,147.0,29.0,52.0,66.0,58.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,36
52.0,60.0,27.0,4.0,1338.0,320.1151184318229,255.04354029942928,3.0,-0.1131367443479606,231.0,267.0,27.0,104.0,120.0,54.0,52.0,113.0,27.0,231.0,503.0,27.0,104.0,226.0,54.0,8.0,0.0,236.0,0.0,0.0,53.0,0.0,79
43.0,17.0,31.0,4.0,1655.0,637.1151184318229,609.7652157516419,4.0,-0.0219346652043328,191.0,76.0,31.0,86.0,34.0,62.0,43.0,70.0,31.0,191.0,312.0,31.0,86.0,140.0,62.0,8.0,0.0,236.0,0.0,0.0,53.0,0.0,80
27.0,17.0,28.0,4.0,1873.0,855.1151184318229,592.1321870728979,3.0,-0.181712503701785,120.0,76.0,28.0,54.0,34.0,56.0,27.0,70.0,28.0,120.0,312.0,28.0,54.0,140.0,56.0,8.0,0.0,236.0,0.0,0.0,53.0,0.0,81
25.0,31.0,34.0,5.0,1779.0,761.1151184318229,728.5885249293966,8.0,-0.0218342712977706,111.0,138.0,34.0,50.0,62.0,68.0,25.0,84.0,34.0,111.0,374.0,34.0,50.0,168.0,68.0,10.0,0.0,236.0,0.0,0.0,53.0,0.0,82
48.0,29.0,46.0,5.0,1845.0,827.1151184318229,591.1640707750596,6.0,-0.1663643163154003,213.0,129.0,46.0,96.0,58.0,92.0,48.0,82.0,46.0,213.0,365.0,46.0,96.0,164.0,92.0,10.0,0.0,236.0,0.0,0.0,53.0,0.0,83
24.0,28.0,46.0,5.0,1625.0,607.1151184318229,504.8288240471021,4.0,-0.0919887149676698,107.0,124.0,46.0,48.0,56.0,92.0,24.0,81.0,46.0,107.0,360.0,46.0,48.0,162.0,92.0,10.0,0.0,236.0,0.0,0.0,53.0,0.0,84
26.0,16.0,38.0,5.0,1869.0,851.1151184318229,650.4475096295772,7.0,-0.1336391869723866,116.0,71.0,38.0,52.0,32.0,76.0,26.0,69.0,38.0,116.0,307.0,38.0,52.0,138.0,76.0,10.0,0.0,236.0,0.0,0.0,53.0,0.0,85
24.0,49.0,19.0,5.0,2349.0,1347.9440765325617,1151.7697760831934,11.0,-0.0784787027699539,107.0,218.0,19.0,48.0,98.0,38.0,78.0,49.0,19.0,347.0,218.0,19.0,156.0,98.0,38.0,10.0,240.0,0.0,0.0,54.0,0.0,0.0,143
26.0,48.0,33.0,5.0,1834.0,832.9440765325616,743.13020409994,6.0,-0.0569858118594372,116.0,213.0,33.0,52.0,96.0,66.0,80.0,48.0,33.0,356.0,213.0,33.0,160.0,96.0,66.0,10.0,240.0,0.0,0.0,54.0,0.0,0.0,144
53.0,47.0,26.0,5.0,1789.0,787.9440765325616,597.3276127545311,6.0,-0.1376022229084376,236.0,209.0,26.0,106.0,94.0,52.0,107.0,47.0,26.0,476.0,209.0,26.0,214.0,94.0,52.0,10.0,240.0,0.0,0.0,54.0,0.0,0.0,145
28.0,34.0,26.0,5.0,1739.0,737.9440765325616,692.1305288929111,7.0,-0.0320357745433987,124.0,151.0,26.0,56.0,68.0,52.0,82.0,34.0,26.0,364.0,151.0,26.0,164.0,68.0,52.0,10.0,240.0,0.0,0.0,54.0,0.0,0.0,147
45.0,32.0,36.0,5.0,1990.0,988.9440765325616,1002.6574290244154,7.0,0.0068855905428825,200.0,142.0,36.0,90.0,64.0,72.0,99.0,32.0,36.0,440.0,142.0,36.0,198.0,64.0,72.0,10.0,240.0,0.0,0.0,54.0,0.0,0.0,148
